n, x1, x2, y, phi1, phi2, Ax, Ay, Bx, By, C, time
187, -0.199980, 0.200246, 0.181796, 2.139675, 2.142823, -0.353000, 0.279801, 0.353000, 0.279801, 1.178097, 23931.000000
188, -0.210177, 0.210328, 0.174037, 2.177622, 2.179809, -0.353000, 0.273357, 0.353000, 0.273357, 1.178097, 26323.000000
189, -0.220397, 0.220397, 0.166357, 2.217897, 2.218699, -0.353000, 0.266712, 0.353000, 0.266712, 1.178097, 26277.000000
190, -0.230533, 0.230362, 0.158832, 2.260214, 2.259357, -0.353000, 0.259909, 0.353000, 0.259909, 1.178097, 23693.000000
191, -0.240488, 0.240152, 0.151524, 2.304256, 2.301683, -0.353000, 0.252988, 0.353000, 0.252988, 1.178097, 26382.000000
192, -0.250175, 0.249712, 0.144484, 2.349671, 2.345627, -0.353000, 0.245988, 0.353000, 0.245988, 1.178097, 32304.000000
193, -0.259523, 0.259008, 0.137749, 2.396103, 2.391206, -0.353000, 0.238950, 0.353000, 0.238950, 1.178097, 28848.000000
194, -0.268483, 0.268025, 0.131340, 2.443256, 2.438516, -0.353000, 0.231911, 0.353000, 0.231911, 1.178097, 28797.000000
195, -0.277040, 0.276766, 0.125264, 2.490996, 2.487690, -0.353000, 0.224910, 0.353000, 0.224910, 1.178097, 27533.000000
196, -0.285213, 0.285228, 0.119514, 2.539454, 2.538791, -0.353000, 0.217981, 0.353000, 0.217981, 1.178097, 24651.000000
197, -0.293050, 0.293388, 0.114079, 2.589035, 2.591632, -0.353000, 0.211160, 0.353000, 0.211160, 1.178097, 22891.000000
198, -0.300595, 0.301181, 0.108950, 2.640227, 2.645641, -0.353000, 0.204480, 0.353000, 0.204480, 1.178097, 23804.000000
199, -0.307858, 0.308517, 0.104133, 2.693272, 2.699913, -0.353000, 0.197973, 0.353000, 0.197973, 1.178097, 22045.000000
200, -0.314809, 0.315310, 0.099643, 2.747959, 2.753464, -0.353000, 0.191669, 0.353000, 0.191669, 1.178097, 22363.000000
201, -0.321396, 0.321508, 0.095495, 2.803729, 2.805457, -0.353000, 0.185598, 0.353000, 0.185598, 1.178097, 22047.000000
202, -0.327578, 0.327087, 0.091696, 2.859966, 2.855220, -0.353000, 0.179788, 0.353000, 0.179788, 1.178097, 21472.000000
203, -0.333346, 0.332043, 0.088244, 2.916208, 2.902105, -0.353000, 0.174263, 0.353000, 0.174263, 1.178097, 21932.000000
204, -0.338716, 0.336363, 0.085130, 2.972230, 2.945324, -0.353000, 0.169047, 0.353000, 0.169047, 1.178097, 22233.000000
205, -0.343735, 0.340018, 0.082344, 3.028113, 2.983783, -0.353000, 0.164163, 0.353000, 0.164163, 1.178097, 24662.000000
206, -0.348479, 0.342940, 0.079879, 3.084363, 3.015830, -0.353000, 0.159628, 0.353000, 0.159628, 1.178097, 24832.000000
207, -0.353077, 0.344995, 0.077730, 3.142155, 3.038834, -0.353000, 0.155461, 0.353000, 0.155461, 1.178097, 25189.000000
208, -0.357722, 0.345929, 0.075912, 3.203675, 3.048496, -0.353000, 0.151677, 0.353000, 0.151677, 1.178097, 24755.000000
209, -0.362697, 0.345319, 0.074462, 3.272390, 3.038021, -0.353000, 0.148289, 0.353000, 0.148289, 1.178097, 24582.000000
210, -0.368326, 0.342571, 0.073465, 3.352412, 2.998278, -0.353000, 0.145308, 0.353000, 0.145308, 1.178097, 25778.000000
211, -0.374753, 0.337227, 0.073035, 3.445148, 2.922298, -0.353000, 0.142743, 0.353000, 0.142743, 1.178097, 29462.000000
212, -0.381530, 0.329771, 0.073204, 3.543269, 2.816627, -0.353000, 0.140600, 0.353000, 0.140600, 1.178097, 26482.000000
213, -0.387562, 0.322095, 0.073751, 3.630500, 2.707293, -0.353000, 0.138881, 0.353000, 0.138881, 1.178097, 23027.000000
214, -0.391951, 0.316153, 0.074314, 3.694093, 2.621461, -0.353000, 0.137585, 0.353000, 0.137585, 1.178097, 22022.000000
215, -0.394641, 0.312450, 0.074701, 3.733346, 2.567007, -0.353000, 0.136708, 0.353000, 0.136708, 1.178097, 22562.000000
216, -0.396043, 0.310481, 0.074925, 3.753789, 2.537739, -0.353000, 0.136247, 0.353000, 0.136247, 1.178097, 22816.000000
217, -0.396529, 0.309668, 0.075057, 3.760337, 2.525996, -0.353000, 0.136200, 0.353000, 0.136200, 1.178097, 21575.000000
218, -0.396300, 0.309672, 0.075148, 3.755658, 2.527095, -0.353000, 0.136566, 0.353000, 0.136566, 1.178097, 23450.000000
219, -0.395433, 0.310345, 0.075226, 3.740800, 2.538869, -0.353000, 0.137345, 0.353000, 0.137345, 1.178097, 23768.000000
220, -0.393922, 0.311644, 0.075310, 3.715866, 2.560566, -0.353000, 0.138536, 0.353000, 0.138536, 1.178097, 22639.000000
221, -0.391708, 0.313591, 0.075412, 3.680334, 2.592179, -0.353000, 0.140138, 0.353000, 0.140138, 1.178097, 22716.000000
222, -0.388684, 0.316243, 0.075551, 3.633129, 2.634127, -0.353000, 0.142152, 0.353000, 0.142152, 1.178097, 22263.000000
223, -0.384681, 0.319685, 0.075755, 3.572544, 2.687061, -0.353000, 0.144576, 0.353000, 0.144576, 1.178097, 22367.000000
224, -0.379458, 0.323999, 0.076075, 3.496112, 2.751514, -0.353000, 0.147409, 0.353000, 0.147409, 1.178097, 22615.000000
225, -0.372695, 0.329194, 0.076609, 3.400688, 2.826859, -0.353000, 0.150652, 0.353000, 0.150652, 1.178097, 22552.000000
226, -0.364082, 0.334962, 0.077546, 3.283860, 2.908175, -0.353000, 0.154301, 0.353000, 0.154301, 1.178097, 23459.000000
227, -0.353786, 0.340091, 0.079179, 3.150418, 2.978876, -0.353000, 0.158355, 0.353000, 0.158355, 1.178097, 22953.000000
228, -0.343719, 0.341955, 0.081668, 3.027366, 3.006157, -0.353000, 0.162806, 0.353000, 0.162806, 1.178097, 22169.000000
229, -0.337011, 0.339036, 0.084582, 2.952144, 2.975383, -0.353000, 0.167645, 0.353000, 0.167645, 1.178097, 22704.000000
230, -0.332637, 0.333864, 0.087622, 2.907969, 2.921158, -0.353000, 0.172856, 0.353000, 0.172856, 1.178097, 22603.000000
231, -0.327996, 0.328277, 0.090956, 2.863841, 2.866252, -0.353000, 0.178418, 0.353000, 0.178418, 1.178097, 24031.000000
232, -0.322682, 0.322355, 0.094646, 2.816004, 2.812001, -0.353000, 0.184314, 0.353000, 0.184314, 1.178097, 27223.000000
233, -0.316717, 0.316041, 0.098714, 2.765392, 2.758123, -0.353000, 0.190522, 0.353000, 0.190522, 1.178097, 28676.000000
234, -0.310080, 0.309296, 0.103187, 2.712417, 2.704591, -0.353000, 0.197020, 0.353000, 0.197020, 1.178097, 24895.000000
235, -0.302736, 0.302071, 0.108098, 2.657373, 2.651308, -0.353000, 0.203784, 0.353000, 0.203784, 1.178097, 24803.000000
236, -0.294658, 0.294299, 0.113481, 2.600668, 2.598027, -0.353000, 0.210786, 0.353000, 0.210786, 1.178097, 21912.000000
237, -0.285862, 0.285904, 0.119357, 2.543030, 2.544421, -0.353000, 0.217998, 0.353000, 0.217998, 1.178097, 22831.000000
238, -0.276424, 0.276837, 0.125725, 2.485580, 2.490317, -0.353000, 0.225388, 0.353000, 0.225388, 1.178097, 22351.000000
239, -0.266480, 0.267114, 0.132549, 2.429598, 2.435971, -0.353000, 0.232922, 0.353000, 0.232922, 1.178097, 22442.000000
240, -0.256172, 0.256829, 0.139776, 2.376063, 2.382103, -0.353000, 0.240562, 0.353000, 0.240562, 1.178097, 22932.000000
241, -0.245598, 0.246116, 0.147358, 2.325336, 2.329598, -0.353000, 0.248269, 0.353000, 0.248269, 1.178097, 22473.000000
242, -0.234805, 0.235096, 0.155260, 2.277306, 2.279142, -0.353000, 0.256002, 0.353000, 0.256002, 1.178097, 24276.000000
243, -0.223817, 0.223862, 0.163456, 2.231721, 2.231129, -0.353000, 0.263719, 0.353000, 0.263719, 1.178097, 22964.000000
244, -0.212665, 0.212489, 0.171915, 2.188377, 2.185750, -0.353000, 0.271375, 0.353000, 0.271375, 1.178097, 22719.000000
245, -0.201390, 0.201047, 0.180600, 2.147129, 2.143084, -0.353000, 0.278927, 0.353000, 0.278927, 1.178097, 22257.000000
246, -0.190042, 0.189600, 0.189471, 2.107864, 2.103136, -0.353000, 0.286329, 0.353000, 0.286329, 1.178097, 22572.000000
247, -0.178672, 0.178205, 0.198481, 2.070488, 2.065848, -0.353000, 0.293536, 0.353000, 0.293536, 1.178097, 22240.000000
248, -0.167337, 0.166918, 0.207580, 2.034934, 2.031105, -0.353000, 0.300502, 0.353000, 0.300502, 1.178097, 24833.000000
249, -0.167337, 0.166918, 0.207580, 2.034934, 2.031105, -0.353000, 0.307182, 0.353000, 0.307182, 1.178097, 22031.000000
